['Mar 19, 2020', 'active cases', '853']['Mar 19, 2020', 'new cases', '146']['Mar 19, 2020', 'new deaths', '1']['Mar 19, 2020', 'new recoveries', '146']
['Mar 20, 2020', 'active cases', '1063']['Mar 20, 2020', 'new cases', '214']['Mar 20, 2020', 'new deaths', '2']['Mar 20, 2020', 'new recoveries', '214']
['Mar 21, 2020', 'active cases', '1303']['Mar 21, 2020', 'new cases', '241']['Mar 21, 2020', 'new deaths', '1']['Mar 21, 2020', 'new recoveries', '241']
['Mar 22, 2020', 'active cases', '1441']['Mar 22, 2020', 'new cases', '142']['Mar 22, 2020', 'new deaths', '4']['Mar 22, 2020', 'new recoveries', '142']
['Mar 23, 2020', 'active cases', '1964']['Mar 23, 2020', 'new cases', '621']['Mar 23, 2020', 'new deaths', '0']['Mar 23, 2020', 'new recoveries', '621']
['Mar 24, 2020', 'active cases', '2662']['Mar 24, 2020', 'new cases', '701']['Mar 24, 2020', 'new deaths', '3']['Mar 24, 2020', 'new recoveries', '701']
['Mar 25, 2020', 'active cases', '3205']['Mar 25, 2020', 'new cases', '617']['Mar 25, 2020', 'new deaths', '1']['Mar 25, 2020', 'new recoveries', '617']
['Mar 26, 2020', 'active cases', '3793']['Mar 26, 2020', 'new cases', '634']['Mar 26, 2020', 'new deaths', '3']['Mar 26, 2020', 'new recoveries', '634']
['Mar 27, 2020', 'active cases', '4379']['Mar 27, 2020', 'new cases', '714']['Mar 27, 2020', 'new deaths', '2']['Mar 27, 2020', 'new recoveries', '714']
['Mar 28, 2020', 'active cases', '5224']['Mar 28, 2020', 'new cases', '898']['Mar 28, 2020', 'new deaths', '11']['Mar 28, 2020', 'new recoveries', '898']
['Mar 29, 2020', 'active cases', '5706']['Mar 29, 2020', 'new cases', '665']['Mar 29, 2020', 'new deaths', '6']['Mar 29, 2020', 'new recoveries', '665']
['Mar 30, 2020', 'active cases', '6313']['Mar 30, 2020', 'new cases', '1128']['Mar 30, 2020', 'new deaths', '1']['Mar 30, 2020', 'new recoveries', '1128']
['Mar 31, 2020', 'active cases', '7314']['Mar 31, 2020', 'new cases', '1164']['Mar 31, 2020', 'new deaths', '14']['Mar 31, 2020', 'new recoveries', '1164']
['Apr 01, 2020', 'active cases', '7932']['Apr 01, 2020', 'new cases', '1119']['Apr 01, 2020', 'new deaths', '7']['Apr 01, 2020', 'new recoveries', '1119']
['Apr 02, 2020', 'active cases', '9232']['Apr 02, 2020', 'new cases', '1552']['Apr 02, 2020', 'new deaths', '9']['Apr 02, 2020', 'new recoveries', '1552']
['Apr 03, 2020', 'active cases', '10051']['Apr 03, 2020', 'new cases', '1092']['Apr 03, 2020', 'new deaths', '66']['Apr 03, 2020', 'new recoveries', '1092']
['Apr 04, 2020', 'active cases', '11130']['Apr 04, 2020', 'new cases', '1537']['Apr 04, 2020', 'new deaths', '49']['Apr 04, 2020', 'new recoveries', '1537']
['Apr 05, 2020', 'active cases', '12339']['Apr 05, 2020', 'new cases', '1600']['Apr 05, 2020', 'new deaths', '44']['Apr 05, 2020', 'new recoveries', '1600']
['Apr 06, 2020', 'active cases', '12771']['Apr 06, 2020', 'new cases', '1155']['Apr 06, 2020', 'new deaths', '49']['Apr 06, 2020', 'new recoveries', '1155']
['Apr 07, 2020', 'active cases', '13546']['Apr 07, 2020', 'new cases', '1230']['Apr 07, 2020', 'new deaths', '43']['Apr 07, 2020', 'new recoveries', '1230']
['Apr 08, 2020', 'active cases', '14511']['Apr 08, 2020', 'new cases', '1541']['Apr 08, 2020', 'new deaths', '56']['Apr 08, 2020', 'new recoveries', '1541']
['Apr 09, 2020', 'active cases', '15020']['Apr 09, 2020', 'new cases', '1327']['Apr 09, 2020', 'new deaths', '55']['Apr 09, 2020', 'new recoveries', '1327']
['Apr 10, 2020', 'active cases', '15627']['Apr 10, 2020', 'new cases', '1383']['Apr 10, 2020', 'new deaths', '74']['Apr 10, 2020', 'new recoveries', '1383']
['Apr 11, 2020', 'active cases', '16322']['Apr 11, 2020', 'new cases', '1170']['Apr 11, 2020', 'new deaths', '60']['Apr 11, 2020', 'new recoveries', '1170']
['Apr 12, 2020', 'active cases', '16559']['Apr 12, 2020', 'new cases', '1065']['Apr 12, 2020', 'new deaths', '84']['Apr 12, 2020', 'new recoveries', '1065']
['Apr 13, 2020', 'active cases', '17208']['Apr 13, 2020', 'new cases', '1297']['Apr 13, 2020', 'new deaths', '64']['Apr 13, 2020', 'new recoveries', '1297']
['Apr 14, 2020', 'active cases', '18049']['Apr 14, 2020', 'new cases', '1383']['Apr 14, 2020', 'new deaths', '63']['Apr 14, 2020', 'new recoveries', '1383']
['Apr 15, 2020', 'active cases', '18498']['Apr 15, 2020', 'new cases', '1316']['Apr 15, 2020', 'new deaths', '123']['Apr 15, 2020', 'new recoveries', '1316']
['Apr 16, 2020', 'active cases', '19368']['Apr 16, 2020', 'new cases', '1727']['Apr 16, 2020', 'new deaths', '107']['Apr 16, 2020', 'new recoveries', '1727']
['Apr 17, 2020', 'active cases', '20193']['Apr 17, 2020', 'new cases', '1821']['Apr 17, 2020', 'new deaths', '182']['Apr 17, 2020', 'new recoveries', '1821']
['Apr 18, 2020', 'active cases', '20870']['Apr 18, 2020', 'new cases', '1456']['Apr 18, 2020', 'new deaths', '115']['Apr 18, 2020', 'new recoveries', '1456']
['Apr 19, 2020', 'active cases', '21749']['Apr 19, 2020', 'new cases', '1673']['Apr 19, 2020', 'new deaths', '158']['Apr 19, 2020', 'new recoveries', '1673']
['Apr 20, 2020', 'active cases', '22666']['Apr 20, 2020', 'new cases', '1773']['Apr 20, 2020', 'new deaths', '113']['Apr 20, 2020', 'new recoveries', '1773']
['Apr 21, 2020', 'active cases', '23547']['Apr 21, 2020', 'new cases', '1593']['Apr 21, 2020', 'new deaths', '110']['Apr 21, 2020', 'new recoveries', '1593']
['Apr 22, 2020', 'active cases', '24373']['Apr 22, 2020', 'new cases', '1768']['Apr 22, 2020', 'new deaths', '144']['Apr 22, 2020', 'new recoveries', '1768']
['Apr 23, 2020', 'active cases', '25378']['Apr 23, 2020', 'new cases', '1920']['Apr 23, 2020', 'new deaths', '140']['Apr 23, 2020', 'new recoveries', '1920']
['Apr 24, 2020', 'active cases', '26276']['Apr 24, 2020', 'new cases', '1778']['Apr 24, 2020', 'new deaths', '172']['Apr 24, 2020', 'new recoveries', '1778']
['Apr 25, 2020', 'active cases', '26630']['Apr 25, 2020', 'new cases', '1466']['Apr 25, 2020', 'new deaths', '156']['Apr 25, 2020', 'new recoveries', '1466']
['Apr 26, 2020', 'active cases', '27113']['Apr 26, 2020', 'new cases', '1541']['Apr 26, 2020', 'new deaths', '162']['Apr 26, 2020', 'new recoveries', '1541']
['Apr 27, 2020', 'active cases', '27677']['Apr 27, 2020', 'new cases', '1605']['Apr 27, 2020', 'new deaths', '94']['Apr 27, 2020', 'new recoveries', '1605']
['Apr 28, 2020', 'active cases', '28135']['Apr 28, 2020', 'new cases', '1526']['Apr 28, 2020', 'new deaths', '146']['Apr 28, 2020', 'new recoveries', '1526']
['Apr 29, 2020', 'active cases', '28417']['Apr 29, 2020', 'new cases', '1571']['Apr 29, 2020', 'new deaths', '152']['Apr 29, 2020', 'new recoveries', '1571']
['Apr 30, 2020', 'active cases', '28823']['Apr 30, 2020', 'new cases', '1639']['Apr 30, 2020', 'new deaths', '137']['Apr 30, 2020', 'new recoveries', '1639']
['May 01, 2020', 'active cases', '29134']['May 01, 2020', 'new cases', '1825']['May 01, 2020', 'new deaths', '186']['May 01, 2020', 'new recoveries', '1825']
['May 02, 2020', 'active cases', '29531']['May 02, 2020', 'new cases', '1653']['May 02, 2020', 'new deaths', '206']['May 02, 2020', 'new recoveries', '1653']
['May 03, 2020', 'active cases', '31010']['May 03, 2020', 'new cases', '2760']['May 03, 2020', 'new deaths', '174']['May 03, 2020', 'new recoveries', '2760']
['May 04, 2020', 'active cases', '31084']['May 04, 2020', 'new cases', '1298']['May 04, 2020', 'new deaths', '115']['May 04, 2020', 'new recoveries', '1298']
['May 05, 2020', 'active cases', '31210']['May 05, 2020', 'new cases', '1274']['May 05, 2020', 'new deaths', '172']['May 05, 2020', 'new recoveries', '1274']
['May 06, 2020', 'active cases', '31294']['May 06, 2020', 'new cases', '1450']['May 06, 2020', 'new deaths', '188']['May 06, 2020', 'new recoveries', '1450']
