['Mar 24, 2020', 'active cases', '472']['Mar 24, 2020', 'new cases', '57']['Mar 24, 2020', 'new deaths', '0']['Mar 24, 2020', 'new recoveries', '57']
['Mar 25, 2020', 'active cases', '626']['Mar 25, 2020', 'new cases', '163']['Mar 25, 2020', 'new deaths', '2']['Mar 25, 2020', 'new recoveries', '163']
['Mar 26, 2020', 'active cases', '799']['Mar 26, 2020', 'new cases', '182']['Mar 26, 2020', 'new deaths', '0']['Mar 26, 2020', 'new recoveries', '182']
['Mar 27, 2020', 'active cases', '987']['Mar 27, 2020', 'new cases', '196']['Mar 27, 2020', 'new deaths', '1']['Mar 27, 2020', 'new recoveries', '196']
['Mar 28, 2020', 'active cases', '1211']['Mar 28, 2020', 'new cases', '228']['Mar 28, 2020', 'new deaths', '0']['Mar 28, 2020', 'new recoveries', '228']
['Mar 29, 2020', 'active cases', '1462']['Mar 29, 2020', 'new cases', '270']['Mar 29, 2020', 'new deaths', '4']['Mar 29, 2020', 'new recoveries', '270']
['Mar 30, 2020', 'active cases', '1761']['Mar 30, 2020', 'new cases', '302']['Mar 30, 2020', 'new deaths', '1']['Mar 30, 2020', 'new recoveries', '302']
['Mar 31, 2020', 'active cases', '2199']['Mar 31, 2020', 'new cases', '501']['Mar 31, 2020', 'new deaths', '8']['Mar 31, 2020', 'new recoveries', '501']
['Apr 01, 2020', 'active cases', '2563']['Apr 01, 2020', 'new cases', '440']['Apr 01, 2020', 'new deaths', '7']['Apr 01, 2020', 'new recoveries', '440']
['Apr 02, 2020', 'active cases', '3283']['Apr 02, 2020', 'new cases', '771']['Apr 02, 2020', 'new deaths', '6']['Apr 02, 2020', 'new recoveries', '771']
['Apr 03, 2020', 'active cases', '3834']['Apr 03, 2020', 'new cases', '601']['Apr 03, 2020', 'new deaths', '4']['Apr 03, 2020', 'new recoveries', '601']
['Apr 04, 2020', 'active cases', '4355']['Apr 04, 2020', 'new cases', '582']['Apr 04, 2020', 'new deaths', '9']['Apr 04, 2020', 'new recoveries', '582']
['Apr 05, 2020', 'active cases', '4989']['Apr 05, 2020', 'new cases', '658']['Apr 05, 2020', 'new deaths', '2']['Apr 05, 2020', 'new recoveries', '658']
['Apr 06, 2020', 'active cases', '5890']['Apr 06, 2020', 'new cases', '954']['Apr 06, 2020', 'new deaths', '2']['Apr 06, 2020', 'new recoveries', '954']
['Apr 07, 2020', 'active cases', '6945']['Apr 07, 2020', 'new cases', '1154']['Apr 07, 2020', 'new deaths', '11']['Apr 07, 2020', 'new recoveries', '1154']
['Apr 08, 2020', 'active cases', '8029']['Apr 08, 2020', 'new cases', '1175']['Apr 08, 2020', 'new deaths', '5']['Apr 08, 2020', 'new recoveries', '1175']
['Apr 09, 2020', 'active cases', '9357']['Apr 09, 2020', 'new cases', '1459']['Apr 09, 2020', 'new deaths', '13']['Apr 09, 2020', 'new recoveries', '1459']
['Apr 10, 2020', 'active cases', '11028']['Apr 10, 2020', 'new cases', '1786']['Apr 10, 2020', 'new deaths', '18']['Apr 10, 2020', 'new recoveries', '1786']
['Apr 11, 2020', 'active cases', '12433']['Apr 11, 2020', 'new cases', '1667']['Apr 11, 2020', 'new deaths', '12']['Apr 11, 2020', 'new recoveries', '1667']
['Apr 12, 2020', 'active cases', '14349']['Apr 12, 2020', 'new cases', '2186']['Apr 12, 2020', 'new deaths', '24']['Apr 12, 2020', 'new recoveries', '2186']
['Apr 13, 2020', 'active cases', '16710']['Apr 13, 2020', 'new cases', '2558']['Apr 13, 2020', 'new deaths', '18']['Apr 13, 2020', 'new recoveries', '2558']
['Apr 14, 2020', 'active cases', '19238']['Apr 14, 2020', 'new cases', '2774']['Apr 14, 2020', 'new deaths', '22']['Apr 14, 2020', 'new recoveries', '2774']
['Apr 15, 2020', 'active cases', '22306']['Apr 15, 2020', 'new cases', '3388']['Apr 15, 2020', 'new deaths', '28']['Apr 15, 2020', 'new recoveries', '3388']
['Apr 16, 2020', 'active cases', '25402']['Apr 16, 2020', 'new cases', '3448']['Apr 16, 2020', 'new deaths', '34']['Apr 16, 2020', 'new recoveries', '3448']
['Apr 17, 2020', 'active cases', '29145']['Apr 17, 2020', 'new cases', '4070']['Apr 17, 2020', 'new deaths', '41']['Apr 17, 2020', 'new recoveries', '4070']
['Apr 18, 2020', 'active cases', '33423']['Apr 18, 2020', 'new cases', '4785']['Apr 18, 2020', 'new deaths', '40']['Apr 18, 2020', 'new recoveries', '4785']
['Apr 19, 2020', 'active cases', '39201']['Apr 19, 2020', 'new cases', '6060']['Apr 19, 2020', 'new deaths', '48']['Apr 19, 2020', 'new recoveries', '6060']
['Apr 20, 2020', 'active cases', '43270']['Apr 20, 2020', 'new cases', '4268']['Apr 20, 2020', 'new deaths', '44']['Apr 20, 2020', 'new recoveries', '4268']
['Apr 21, 2020', 'active cases', '48434']['Apr 21, 2020', 'new cases', '5642']['Apr 21, 2020', 'new deaths', '51']['Apr 21, 2020', 'new recoveries', '5642']
['Apr 22, 2020', 'active cases', '53066']['Apr 22, 2020', 'new cases', '5236']['Apr 22, 2020', 'new deaths', '57']['Apr 22, 2020', 'new recoveries', '5236']
['Apr 23, 2020', 'active cases', '57327']['Apr 23, 2020', 'new cases', '4774']['Apr 23, 2020', 'new deaths', '42']['Apr 23, 2020', 'new recoveries', '4774']
['Apr 24, 2020', 'active cases', '62439']['Apr 24, 2020', 'new cases', '5849']['Apr 24, 2020', 'new deaths', '60']['Apr 24, 2020', 'new recoveries', '5849']
['Apr 25, 2020', 'active cases', '67657']['Apr 25, 2020', 'new cases', '5966']['Apr 25, 2020', 'new deaths', '66']['Apr 25, 2020', 'new recoveries', '5966']
['Apr 26, 2020', 'active cases', '73435']['Apr 26, 2020', 'new cases', '6361']['Apr 26, 2020', 'new deaths', '66']['Apr 26, 2020', 'new recoveries', '6361']
['Apr 27, 2020', 'active cases', '79007']['Apr 27, 2020', 'new cases', '6198']['Apr 27, 2020', 'new deaths', '47']['Apr 27, 2020', 'new recoveries', '6198']
['Apr 28, 2020', 'active cases', '84235']['Apr 28, 2020', 'new cases', '6411']['Apr 28, 2020', 'new deaths', '73']['Apr 28, 2020', 'new recoveries', '6411']
['Apr 29, 2020', 'active cases', '88141']['Apr 29, 2020', 'new cases', '5841']['Apr 29, 2020', 'new deaths', '105']['Apr 29, 2020', 'new recoveries', '5841']
['Apr 30, 2020', 'active cases', '93806']['Apr 30, 2020', 'new cases', '7099']['Apr 30, 2020', 'new deaths', '101']['Apr 30, 2020', 'new recoveries', '7099']
['May 01, 2020', 'active cases', '100042']['May 01, 2020', 'new cases', '7933']['May 01, 2020', 'new deaths', '96']['May 01, 2020', 'new recoveries', '7933']
['May 02, 2020', 'active cases', '107819']['May 02, 2020', 'new cases', '9623']['May 02, 2020', 'new deaths', '53']['May 02, 2020', 'new recoveries', '9623']
['May 03, 2020', 'active cases', '116768']['May 03, 2020', 'new cases', '10633']['May 03, 2020', 'new deaths', '58']['May 03, 2020', 'new recoveries', '10633']
['May 04, 2020', 'active cases', '125817']['May 04, 2020', 'new cases', '10581']['May 04, 2020', 'new deaths', '76']['May 04, 2020', 'new recoveries', '10581']
['May 05, 2020', 'active cases', '134054']['May 05, 2020', 'new cases', '10102']['May 05, 2020', 'new deaths', '95']['May 05, 2020', 'new recoveries', '10102']
['May 06, 2020', 'active cases', '143065']['May 06, 2020', 'new cases', '10559']['May 06, 2020', 'new deaths', '86']['May 06, 2020', 'new recoveries', '10559']
['May 07, 2020', 'active cases', '151732']['May 07, 2020', 'new cases', '11231']['May 07, 2020', 'new deaths', '88']['May 07, 2020', 'new recoveries', '11231']
['May 08, 2020', 'active cases', '159528']['May 08, 2020', 'new cases', '10699']['May 08, 2020', 'new deaths', '98']['May 08, 2020', 'new recoveries', '10699']
['May 09, 2020', 'active cases', '164933']['May 09, 2020', 'new cases', '10817']['May 09, 2020', 'new deaths', '104']['May 09, 2020', 'new recoveries', '10817']
['May 10, 2020', 'active cases', '173467']['May 10, 2020', 'new cases', '11012']['May 10, 2020', 'new deaths', '88']['May 10, 2020', 'new recoveries', '11012']
['May 11, 2020', 'active cases', '179534']['May 11, 2020', 'new cases', '11656']['May 11, 2020', 'new deaths', '94']['May 11, 2020', 'new recoveries', '11656']
['May 12, 2020', 'active cases', '186615']['May 12, 2020', 'new cases', '10899']['May 12, 2020', 'new deaths', '107']['May 12, 2020', 'new recoveries', '10899']
['May 13, 2020', 'active cases', '192056']['May 13, 2020', 'new cases', '10028']['May 13, 2020', 'new deaths', '96']['May 13, 2020', 'new recoveries', '10028']
['May 14, 2020', 'active cases', '196410']['May 14, 2020', 'new cases', '9974']['May 14, 2020', 'new deaths', '93']['May 14, 2020', 'new recoveries', '9974']
['May 15, 2020', 'active cases', '202199']['May 15, 2020', 'new cases', '10598']['May 15, 2020', 'new deaths', '113']['May 15, 2020', 'new recoveries', '10598']
['May 16, 2020', 'active cases', '206340']['May 16, 2020', 'new cases', '9200']['May 16, 2020', 'new deaths', '119']['May 16, 2020', 'new recoveries', '9200']
['May 17, 2020', 'active cases', '211748']['May 17, 2020', 'new cases', '9709']['May 17, 2020', 'new deaths', '94']['May 17, 2020', 'new recoveries', '9709']
['May 18, 2020', 'active cases', '217747']['May 18, 2020', 'new cases', '8926']['May 18, 2020', 'new deaths', '91']['May 18, 2020', 'new recoveries', '8926']
['May 19, 2020', 'active cases', '220974']['May 19, 2020', 'new cases', '9263']['May 19, 2020', 'new deaths', '115']['May 19, 2020', 'new recoveries', '9263']
['May 20, 2020', 'active cases', '220341']['May 20, 2020', 'new cases', '8764']['May 20, 2020', 'new deaths', '135']['May 20, 2020', 'new recoveries', '8764']
