['Mar 23, 2020', 'active cases', '14991']['Mar 23, 2020', 'new cases', '3488']['Mar 23, 2020', 'new deaths', '186']['Mar 23, 2020', 'new recoveries', '3488']
['Mar 24, 2020', 'active cases', '15894']['Mar 24, 2020', 'new cases', '2224']['Mar 24, 2020', 'new deaths', '240']['Mar 24, 2020', 'new recoveries', '2224']
['Mar 25, 2020', 'active cases', '17706']['Mar 25, 2020', 'new cases', '2662']['Mar 25, 2020', 'new deaths', '231']['Mar 25, 2020', 'new recoveries', '2662']
['Mar 26, 2020', 'active cases', '19857']['Mar 26, 2020', 'new cases', '3564']['Mar 26, 2020', 'new deaths', '365']['Mar 26, 2020', 'new recoveries', '3564']
['Mar 27, 2020', 'active cases', '22268']['Mar 27, 2020', 'new cases', '3462']['Mar 27, 2020', 'new deaths', '299']['Mar 27, 2020', 'new recoveries', '3462']
['Mar 28, 2020', 'active cases', '26140']['Mar 28, 2020', 'new cases', '4191']['Mar 28, 2020', 'new deaths', '319']['Mar 28, 2020', 'new recoveries', '4191']
['Mar 29, 2020', 'active cases', '26708']['Mar 29, 2020', 'new cases', '2362']['Mar 29, 2020', 'new deaths', '292']['Mar 29, 2020', 'new recoveries', '2362']
['Mar 30, 2020', 'active cases', '29542']['Mar 30, 2020', 'new cases', '3977']['Mar 30, 2020', 'new deaths', '418']['Mar 30, 2020', 'new recoveries', '3977']
['Mar 31, 2020', 'active cases', '34414']['Mar 31, 2020', 'new cases', '6887']['Mar 31, 2020', 'new deaths', '498']['Mar 31, 2020', 'new recoveries', '6887']
['Apr 01, 2020', 'active cases', '36833']['Apr 01, 2020', 'new cases', '4418']['Apr 01, 2020', 'new deaths', '508']['Apr 01, 2020', 'new recoveries', '4418']
['Apr 02, 2020', 'active cases', '35909']['Apr 02, 2020', 'new cases', '1923']['Apr 02, 2020', 'new deaths', '1354']['Apr 02, 2020', 'new recoveries', '1923']
['Apr 03, 2020', 'active cases', '37965']['Apr 03, 2020', 'new cases', '4755']['Apr 03, 2020', 'new deaths', '1119']['Apr 03, 2020', 'new recoveries', '4755']
['Apr 04, 2020', 'active cases', '39360']['Apr 04, 2020', 'new cases', '3877']['Apr 04, 2020', 'new deaths', '1052']['Apr 04, 2020', 'new recoveries', '3877']
['Apr 05, 2020', 'active cases', '39801']['Apr 05, 2020', 'new cases', '1703']['Apr 05, 2020', 'new deaths', '517']['Apr 05, 2020', 'new recoveries', '1703']
