['Mar 23, 2020', 'active cases', '28480']['Mar 23, 2020', 'new cases', '4183']['Mar 23, 2020', 'new deaths', '29']['Mar 23, 2020', 'new recoveries', '4183']
['Mar 24, 2020', 'active cases', '29542']['Mar 24, 2020', 'new cases', '3935']['Mar 24, 2020', 'new deaths', '36']['Mar 24, 2020', 'new recoveries', '3935']
['Mar 25, 2020', 'active cases', '33570']['Mar 25, 2020', 'new cases', '4332']['Mar 25, 2020', 'new deaths', '47']['Mar 25, 2020', 'new recoveries', '4332']
['Mar 26, 2020', 'active cases', '37998']['Mar 26, 2020', 'new cases', '6615']['Mar 26, 2020', 'new deaths', '61']['Mar 26, 2020', 'new recoveries', '6615']
['Mar 27, 2020', 'active cases', '43862']['Mar 27, 2020', 'new cases', '6933']['Mar 27, 2020', 'new deaths', '84']['Mar 27, 2020', 'new recoveries', '6933']
['Mar 28, 2020', 'active cases', '48781']['Mar 28, 2020', 'new cases', '6824']['Mar 28, 2020', 'new deaths', '82']['Mar 28, 2020', 'new recoveries', '6824']
['Mar 29, 2020', 'active cases', '52683']['Mar 29, 2020', 'new cases', '4740']['Mar 29, 2020', 'new deaths', '108']['Mar 29, 2020', 'new recoveries', '4740']
['Mar 30, 2020', 'active cases', '52740']['Mar 30, 2020', 'new cases', '4450']['Mar 30, 2020', 'new deaths', '104']['Mar 30, 2020', 'new recoveries', '4450']
['Mar 31, 2020', 'active cases', '54933']['Mar 31, 2020', 'new cases', '4923']['Mar 31, 2020', 'new deaths', '130']['Mar 31, 2020', 'new recoveries', '4923']
['Apr 01, 2020', 'active cases', '58349']['Apr 01, 2020', 'new cases', '6173']['Apr 01, 2020', 'new deaths', '157']['Apr 01, 2020', 'new recoveries', '6173']
['Apr 02, 2020', 'active cases', '61245']['Apr 02, 2020', 'new cases', '6813']['Apr 02, 2020', 'new deaths', '177']['Apr 02, 2020', 'new recoveries', '6813']
['Apr 03, 2020', 'active cases', '65306']['Apr 03, 2020', 'new cases', '6365']['Apr 03, 2020', 'new deaths', '169']['Apr 03, 2020', 'new recoveries', '6365']
['Apr 04, 2020', 'active cases', '68244']['Apr 04, 2020', 'new cases', '4933']['Apr 04, 2020', 'new deaths', '170']['Apr 04, 2020', 'new recoveries', '4933']
['Apr 05, 2020', 'active cases', '69834']['Apr 05, 2020', 'new cases', '4031']['Apr 05, 2020', 'new deaths', '141']['Apr 05, 2020', 'new recoveries', '4031']
['Apr 06, 2020', 'active cases', '72859']['Apr 06, 2020', 'new cases', '3252']['Apr 06, 2020', 'new deaths', '227']['Apr 06, 2020', 'new recoveries', '3252']
['Apr 07, 2020', 'active cases', '69559']['Apr 07, 2020', 'new cases', '4288']['Apr 07, 2020', 'new deaths', '207']['Apr 07, 2020', 'new recoveries', '4288']
['Apr 08, 2020', 'active cases', '64639']['Apr 08, 2020', 'new cases', '5633']['Apr 08, 2020', 'new deaths', '334']['Apr 08, 2020', 'new recoveries', '5633']
['Apr 09, 2020', 'active cases', '63212']['Apr 09, 2020', 'new cases', '4939']['Apr 09, 2020', 'new deaths', '259']['Apr 09, 2020', 'new recoveries', '4939']
['Apr 10, 2020', 'active cases', '65513']['Apr 10, 2020', 'new cases', '3936']['Apr 10, 2020', 'new deaths', '129']['Apr 10, 2020', 'new recoveries', '3936']
['Apr 11, 2020', 'active cases', '65171']['Apr 11, 2020', 'new cases', '3281']['Apr 11, 2020', 'new deaths', '136']['Apr 11, 2020', 'new recoveries', '3281']
['Apr 12, 2020', 'active cases', '64521']['Apr 12, 2020', 'new cases', '2402']['Apr 12, 2020', 'new deaths', '152']['Apr 12, 2020', 'new recoveries', '2402']
['Apr 13, 2020', 'active cases', '62566']['Apr 13, 2020', 'new cases', '2218']['Apr 13, 2020', 'new deaths', '173']['Apr 13, 2020', 'new recoveries', '2218']
['Apr 14, 2020', 'active cases', '60502']['Apr 14, 2020', 'new cases', '2138']['Apr 14, 2020', 'new deaths', '302']['Apr 14, 2020', 'new recoveries', '2138']
['Apr 15, 2020', 'active cases', '58335']['Apr 15, 2020', 'new cases', '2543']['Apr 15, 2020', 'new deaths', '310']['Apr 15, 2020', 'new recoveries', '2543']
['Apr 16, 2020', 'active cases', '56631']['Apr 16, 2020', 'new cases', '2945']['Apr 16, 2020', 'new deaths', '249']['Apr 16, 2020', 'new recoveries', '2945']
['Apr 17, 2020', 'active cases', '53915']['Apr 17, 2020', 'new cases', '3699']['Apr 17, 2020', 'new deaths', '301']['Apr 17, 2020', 'new recoveries', '3699']
['Apr 18, 2020', 'active cases', '53769']['Apr 18, 2020', 'new cases', '2327']['Apr 18, 2020', 'new deaths', '187']['Apr 18, 2020', 'new recoveries', '2327']
['Apr 19, 2020', 'active cases', '53083']['Apr 19, 2020', 'new cases', '2018']['Apr 19, 2020', 'new deaths', '104']['Apr 19, 2020', 'new recoveries', '2018']
['Apr 20, 2020', 'active cases', '50685']['Apr 20, 2020', 'new cases', '1323']['Apr 20, 2020', 'new deaths', '221']['Apr 20, 2020', 'new recoveries', '1323']
['Apr 21, 2020', 'active cases', '48148']['Apr 21, 2020', 'new cases', '1388']['Apr 21, 2020', 'new deaths', '225']['Apr 21, 2020', 'new recoveries', '1388']
['Apr 22, 2020', 'active cases', '45913']['Apr 22, 2020', 'new cases', '2195']['Apr 22, 2020', 'new deaths', '230']['Apr 22, 2020', 'new recoveries', '2195']
['Apr 23, 2020', 'active cases', '44233']['Apr 23, 2020', 'new cases', '2481']['Apr 23, 2020', 'new deaths', '261']['Apr 23, 2020', 'new recoveries', '2481']
['Apr 24, 2020', 'active cases', '42417']['Apr 24, 2020', 'new cases', '1870']['Apr 24, 2020', 'new deaths', '186']['Apr 24, 2020', 'new recoveries', '1870']
['Apr 25, 2020', 'active cases', '40814']['Apr 25, 2020', 'new cases', '1514']['Apr 25, 2020', 'new deaths', '117']['Apr 25, 2020', 'new recoveries', '1514']
['Apr 26, 2020', 'active cases', '39772']['Apr 26, 2020', 'new cases', '1257']['Apr 26, 2020', 'new deaths', '99']['Apr 26, 2020', 'new recoveries', '1257']
['Apr 27, 2020', 'active cases', '38109']['Apr 27, 2020', 'new cases', '988']['Apr 27, 2020', 'new deaths', '151']['Apr 27, 2020', 'new recoveries', '988']
['Apr 28, 2020', 'active cases', '36174']['Apr 28, 2020', 'new cases', '1154']['Apr 28, 2020', 'new deaths', '189']['Apr 28, 2020', 'new recoveries', '1154']
