['Mar 23, 2020', 'active cases', '311']['Mar 23, 2020', 'new cases', '67']['Mar 23, 2020', 'new deaths', '0']['Mar 23, 2020', 'new recoveries', '67']
['Mar 24, 2020', 'active cases', '362']['Mar 24, 2020', 'new cases', '53']['Mar 24, 2020', 'new deaths', '2']['Mar 24, 2020', 'new recoveries', '53']
['Mar 25, 2020', 'active cases', '400']['Mar 25, 2020', 'new cases', '39']['Mar 25, 2020', 'new deaths', '1']['Mar 25, 2020', 'new recoveries', '39']
['Mar 26, 2020', 'active cases', '469']['Mar 26, 2020', 'new cases', '72']['Mar 26, 2020', 'new deaths', '3']['Mar 26, 2020', 'new recoveries', '72']
['Mar 27, 2020', 'active cases', '581']['Mar 27, 2020', 'new cases', '114']['Mar 27, 2020', 'new deaths', '2']['Mar 27, 2020', 'new recoveries', '114']
['Mar 28, 2020', 'active cases', '709']['Mar 28, 2020', 'new cases', '136']['Mar 28, 2020', 'new deaths', '8']['Mar 28, 2020', 'new recoveries', '136']
['Mar 29, 2020', 'active cases', '804']['Mar 29, 2020', 'new cases', '135']['Mar 29, 2020', 'new deaths', '9']['Mar 29, 2020', 'new recoveries', '135']
['Mar 30, 2020', 'active cases', '939']['Mar 30, 2020', 'new cases', '150']['Mar 30, 2020', 'new deaths', '15']['Mar 30, 2020', 'new recoveries', '150']
['Mar 31, 2020', 'active cases', '1034']['Mar 31, 2020', 'new cases', '104']['Mar 31, 2020', 'new deaths', '9']['Mar 31, 2020', 'new recoveries', '104']
['Apr 01, 2020', 'active cases', '1145']['Apr 01, 2020', 'new cases', '125']['Apr 01, 2020', 'new deaths', '14']['Apr 01, 2020', 'new recoveries', '125']
['Apr 02, 2020', 'active cases', '1288']['Apr 02, 2020', 'new cases', '168']['Apr 02, 2020', 'new deaths', '25']['Apr 02, 2020', 'new recoveries', '168']
['Apr 03, 2020', 'active cases', '805']['Apr 03, 2020', 'new cases', '136']['Apr 03, 2020', 'new deaths', '21']['Apr 03, 2020', 'new recoveries', '136']
['Apr 04, 2020', 'active cases', '962']['Apr 04, 2020', 'new cases', '184']['Apr 04, 2020', 'new deaths', '27']['Apr 04, 2020', 'new recoveries', '184']
['Apr 05, 2020', 'active cases', '1138']['Apr 05, 2020', 'new cases', '209']['Apr 05, 2020', 'new deaths', '33']['Apr 05, 2020', 'new recoveries', '209']
['Apr 06, 2020', 'active cases', '1361']['Apr 06, 2020', 'new cases', '261']['Apr 06, 2020', 'new deaths', '38']['Apr 06, 2020', 'new recoveries', '261']
['Apr 07, 2020', 'active cases', '1634']['Apr 07, 2020', 'new cases', '306']['Apr 07, 2020', 'new deaths', '33']['Apr 07, 2020', 'new recoveries', '306']
['Apr 08, 2020', 'active cases', '1934']['Apr 08, 2020', 'new cases', '357']['Apr 08, 2020', 'new deaths', '57']['Apr 08, 2020', 'new recoveries', '357']
['Apr 09, 2020', 'active cases', '2283']['Apr 09, 2020', 'new cases', '409']['Apr 09, 2020', 'new deaths', '60']['Apr 09, 2020', 'new recoveries', '409']
['Apr 10, 2020', 'active cases', '2501']['Apr 10, 2020', 'new cases', '268']['Apr 10, 2020', 'new deaths', '50']['Apr 10, 2020', 'new recoveries', '268']
['Apr 11, 2020', 'active cases', '2856']['Apr 11, 2020', 'new cases', '416']['Apr 11, 2020', 'new deaths', '61']['Apr 11, 2020', 'new recoveries', '416']
['Apr 12, 2020', 'active cases', '2027']['Apr 12, 2020', 'new cases', '387']['Apr 12, 2020', 'new deaths', '77']['Apr 12, 2020', 'new recoveries', '387']
['Apr 13, 2020', 'active cases', '2331']['Apr 13, 2020', 'new cases', '456']['Apr 13, 2020', 'new deaths', '81']['Apr 13, 2020', 'new recoveries', '456']
['Apr 14, 2020', 'active cases', '2490']['Apr 14, 2020', 'new cases', '364']['Apr 14, 2020', 'new deaths', '84']['Apr 14, 2020', 'new recoveries', '364']
['Apr 15, 2020', 'active cases', '2628']['Apr 15, 2020', 'new cases', '397']['Apr 15, 2020', 'new deaths', '98']['Apr 15, 2020', 'new recoveries', '397']
['Apr 16, 2020', 'active cases', '2981']['Apr 16, 2020', 'new cases', '463']['Apr 16, 2020', 'new deaths', '110']['Apr 16, 2020', 'new recoveries', '463']
['Apr 17, 2020', 'active cases', '3334']['Apr 17, 2020', 'new cases', '465']['Apr 17, 2020', 'new deaths', '112']['Apr 17, 2020', 'new recoveries', '465']
['Apr 18, 2020', 'active cases', '3826']['Apr 18, 2020', 'new cases', '597']['Apr 18, 2020', 'new deaths', '105']['Apr 18, 2020', 'new recoveries', '597']
['Apr 19, 2020', 'active cases', '3829']['Apr 19, 2020', 'new cases', '642']['Apr 19, 2020', 'new deaths', '137']['Apr 19, 2020', 'new recoveries', '642']
['Apr 20, 2020', 'active cases', '4483']['Apr 20, 2020', 'new cases', '789']['Apr 20, 2020', 'new deaths', '135']['Apr 20, 2020', 'new recoveries', '789']
['Apr 21, 2020', 'active cases', '4832']['Apr 21, 2020', 'new cases', '528']['Apr 21, 2020', 'new deaths', '179']['Apr 21, 2020', 'new recoveries', '528']
['Apr 22, 2020', 'active cases', '5380']['Apr 22, 2020', 'new cases', '753']['Apr 22, 2020', 'new deaths', '205']['Apr 22, 2020', 'new recoveries', '753']
