['Jul 12, 2020', 'active cases', '10641']
['Jul 13, 2020', 'active cases', '10426']
['Jul 14, 2020', 'active cases', '10830']
['Jul 15, 2020', 'active cases', '11220']
['Jul 16, 2020', 'active cases', '10231']
['Jul 17, 2020', 'active cases', '10526']
['Jul 18, 2020', 'active cases', '10848']
['Jul 19, 2020', 'active cases', '11397']
['Jul 20, 2020', 'active cases', '11217']
['Jul 21, 2020', 'active cases', '10904']
['Jul 22, 2020', 'active cases', '11223']
['Jul 23, 2020', 'active cases', '11674']
['Jul 24, 2020', 'active cases', '12208']
['Jul 25, 2020', 'active cases', '12564']
['Jul 26, 2020', 'active cases', '13354']
['Jul 27, 2020', 'active cases', '13390']
['Jul 28, 2020', 'active cases', '13448']
['Jul 29, 2020', 'active cases', '14171']
['Jul 30, 2020', 'active cases', '14846']
['Jul 31, 2020', 'active cases', '15481']
['Aug 01, 2020', 'active cases', '14854']
['Aug 02, 2020', 'active cases', '17230']
['Aug 03, 2020', 'active cases', '17272']
['Aug 04, 2020', 'active cases', '17857']
['Aug 05, 2020', 'active cases', '18947']
['Aug 06, 2020', 'active cases', '19667']
['Aug 07, 2020', 'active cases', '21002']
['Aug 08, 2020', 'active cases', '22100']
['Aug 09, 2020', 'active cases', '23681']
['Aug 10, 2020', 'active cases', '23870']
['Aug 11, 2020', 'active cases', '24244']
['Aug 12, 2020', 'active cases', '25616']
['Aug 13, 2020', 'active cases', '27061']
['Aug 14, 2020', 'active cases', '28776']
['Aug 15, 2020', 'active cases', '30927']
['Aug 16, 2020', 'active cases', '33274']
['Aug 17, 2020', 'active cases', '33057']
['Aug 18, 2020', 'active cases', '33851']
['Aug 19, 2020', 'active cases', '36103']
['Aug 20, 2020', 'active cases', '39317']
['Aug 21, 2020', 'active cases', '43621']
['Aug 22, 2020', 'active cases', '44355']
['Aug 23, 2020', 'active cases', '48429']
['Aug 24, 2020', 'active cases', '49289']
['Aug 25, 2020', 'active cases', '50799']
['Aug 26, 2020', 'active cases', '54389']
['Aug 27, 2020', 'active cases', '57977']
['Aug 28, 2020', 'active cases', '62992']
['Aug 29, 2020', 'active cases', '66200']
['Aug 30, 2020', 'active cases', '70543']
['Aug 31, 2020', 'active cases', '72124']
['Sep 01, 2020', 'active cases', '74430']
['Sep 02, 2020', 'active cases', '78510']
['Sep 03, 2020', 'active cases', '82555']
['Sep 04, 2020', 'active cases', '87872']
['Sep 05, 2020', 'active cases', '93067']
['Sep 06, 2020', 'active cases', '99240']
['Sep 07, 2020', 'active cases', '101084']
['Sep 08, 2020', 'active cases', '103681']
['Sep 09, 2020', 'active cases', '107253']
['Sep 10, 2020', 'active cases', '112186']
['Sep 11, 2020', 'active cases', '117633']
['Sep 12, 2020', 'active cases', '122948']
['Sep 13, 2020', 'active cases', '127854']
['Sep 14, 2020', 'active cases', '130532']
['Sep 15, 2020', 'active cases', '132806']
['Sep 16, 2020', 'active cases', '136253']
['Sep 17, 2020', 'active cases', '139269']
['Sep 18, 2020', 'active cases', '146554']
