['Jul 03, 2020', 'new recoveries', '546']
['Jul 04, 2020', 'new recoveries', '526']
['Jul 05, 2020', 'new recoveries', '600']
['Jul 06, 2020', 'new recoveries', '165']
['Jul 07, 2020', 'new recoveries', '446']
['Jul 08, 2020', 'new recoveries', '622']
['Jul 09, 2020', 'new recoveries', '583']
['Jul 10, 2020', 'new recoveries', '617']
['Jul 11, 2020', 'new recoveries', '628']
['Jul 12, 2020', 'new recoveries', '627']
['Jul 13, 2020', 'new recoveries', '270']
['Jul 14, 2020', 'new recoveries', '480']
['Jul 15, 2020', 'new recoveries', '390']
['Jul 16, 2020', 'new recoveries', '501']
['Jul 17, 2020', 'new recoveries', '785']
['Jul 18, 2020', 'new recoveries', '812']
['Jul 19, 2020', 'new recoveries', '812']
['Jul 20, 2020', 'new recoveries', '328']
['Jul 21, 2020', 'new recoveries', '548']
['Jul 22, 2020', 'new recoveries', '937']
['Jul 23, 2020', 'new recoveries', '997']
['Jul 24, 2020', 'new recoveries', '1060']
['Jul 25, 2020', 'new recoveries', '956']
['Jul 26, 2020', 'new recoveries', '955']
['Jul 27, 2020', 'new recoveries', '482']
['Jul 28, 2020', 'new recoveries', '680']
['Jul 29, 2020', 'new recoveries', '1306']
['Jul 30, 2020', 'new recoveries', '1292']
['Jul 31, 2020', 'new recoveries', '1263']
['Aug 01, 2020', 'new recoveries', '0']
['Aug 02, 2020', 'new recoveries', '2646']
['Aug 03, 2020', 'new recoveries', '522']
['Aug 04, 2020', 'new recoveries', '975']
['Aug 05, 2020', 'new recoveries', '1591']
['Aug 06, 2020', 'new recoveries', '1505']
['Aug 07, 2020', 'new recoveries', '2147']
['Aug 08, 2020', 'new recoveries', '1910']
['Aug 09, 2020', 'new recoveries', '1909']
['Aug 10, 2020', 'new recoveries', '737']
['Aug 11, 2020', 'new recoveries', '1311']
['Aug 12, 2020', 'new recoveries', '2369']
['Aug 13, 2020', 'new recoveries', '2505']
['Aug 14, 2020', 'new recoveries', '2671']
['Aug 15, 2020', 'new recoveries', '3106']
['Aug 16, 2020', 'new recoveries', '2829']
['Aug 17, 2020', 'new recoveries', '463']
['Aug 18, 2020', 'new recoveries', '2100']
